created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:06:31 +0000 2022;1488483901194608641;1488483901194608641;"RT @Trump_ton: @mrjamesob 

This image I made got 1000's of likes in Brazil, when I asked a few Brazilian retweeters why they said ""because…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;en;1643717191395;20245714;20245714;joannemead;Upminster;Nothing ventured, nothing gained ... (she/her);False;False;128;925;Fri Feb 06 15:46:40 +0000 2009;Trump_ton;Trumpton;2791499260;2791499260
Tue Feb 01 12:06:31 +0000 2022;1488483901194608641;1488483901194608641;"RT @Trump_ton: @mrjamesob 

This image I made got 1000's of likes in Brazil, when I asked a few Brazilian retweeters why they said ""because…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;en;1643717191395;20245714;20245714;joannemead;Upminster;Nothing ventured, nothing gained ... (she/her);False;False;128;925;Fri Feb 06 15:46:40 +0000 2009;mrjamesob;James Oh Brien;152656121;152656121
