created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:03:03 +0000 2022;1488483028129263622;1488483028129263622;RT @Anderso70969994: @atalitapaiva Só não d para perdoar quem defende bolsonaro;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716983240;1205413517072961536;1205413517072961536;luthithome;Rio de Janeiro, Brasil;"Lésbica militante de esquerda lésbica 🏳️‍🌈  l🏡 
 ☭ direitos humanos vegetariana";False;False;2333;3383;Fri Dec 13 09:06:09 +0000 2019;Anderso70969994;oliver86;1138101887193047042;1138101887193047042
Tue Feb 01 12:03:03 +0000 2022;1488483028129263622;1488483028129263622;RT @Anderso70969994: @atalitapaiva Só não d para perdoar quem defende bolsonaro;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716983240;1205413517072961536;1205413517072961536;luthithome;Rio de Janeiro, Brasil;"Lésbica militante de esquerda lésbica 🏳️‍🌈  l🏡 
 ☭ direitos humanos vegetariana";False;False;2333;3383;Fri Dec 13 09:06:09 +0000 2019;atalitapaiva;Talita Paiva;1337828574766780421;1337828574766780421
