created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:04:13 +0000 2022;1488483323315900420;1488483323315900420;RT @jluiztuittecom: @o_antagonista Modo Bolsonaro de acabar com a corrupção: não permitir a investigação, sancionar uma lei onde o político…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717053618;291737660;291737660;simonerrodrigue;;"Agradeço a DEUS por tudo,
Amo minha família, 
DEUS sabe o que faz e não 
poderia ter feito o melhor pra mim.";False;False;1983;3903;Mon May 02 14:51:59 +0000 2011;jluiztuittecom;Luiz Ⓜ️oura 🇾🇪☘;97546457;97546457
Tue Feb 01 12:04:13 +0000 2022;1488483323315900420;1488483323315900420;RT @jluiztuittecom: @o_antagonista Modo Bolsonaro de acabar com a corrupção: não permitir a investigação, sancionar uma lei onde o político…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717053618;291737660;291737660;simonerrodrigue;;"Agradeço a DEUS por tudo,
Amo minha família, 
DEUS sabe o que faz e não 
poderia ter feito o melhor pra mim.";False;False;1983;3903;Mon May 02 14:51:59 +0000 2011;o_antagonista;O Antagonista;2880932962;2880932962
