created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;possibly_sensitive;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:04:46 +0000 2022;1488483459991576580;1488483459991576580;RT @OServidorTI: 📰😱 @miriamleitao: Como é o plano Bolsonaro de demolir a máquina pública. https://t.co/bNgPsiDWwy @ArthurLira_ #ReajusteSer…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;False;low;pt;1643717086204;78910660;78910660;lourenconet;Distrito Federal, Brasil;ateu (graças a deus), apolíticos, gosta de vários esportes, ruim em todos. Desarmado, Selvagem, Vacinado;False;False;912;3828;Thu Oct 01 14:03:38 +0000 2009;OServidorTI;Servidor Público da TI 🧙🏽‍♂️ #PEC32Não;1287925174881353728;1287925174881353728
Tue Feb 01 12:04:46 +0000 2022;1488483459991576580;1488483459991576580;RT @OServidorTI: 📰😱 @miriamleitao: Como é o plano Bolsonaro de demolir a máquina pública. https://t.co/bNgPsiDWwy @ArthurLira_ #ReajusteSer…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;False;low;pt;1643717086204;78910660;78910660;lourenconet;Distrito Federal, Brasil;ateu (graças a deus), apolíticos, gosta de vários esportes, ruim em todos. Desarmado, Selvagem, Vacinado;False;False;912;3828;Thu Oct 01 14:03:38 +0000 2009;miriamleitao;Míriam Leitão;16814640;16814640
Tue Feb 01 12:04:46 +0000 2022;1488483459991576580;1488483459991576580;RT @OServidorTI: 📰😱 @miriamleitao: Como é o plano Bolsonaro de demolir a máquina pública. https://t.co/bNgPsiDWwy @ArthurLira_ #ReajusteSer…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;False;low;pt;1643717086204;78910660;78910660;lourenconet;Distrito Federal, Brasil;ateu (graças a deus), apolíticos, gosta de vários esportes, ruim em todos. Desarmado, Selvagem, Vacinado;False;False;912;3828;Thu Oct 01 14:03:38 +0000 2009;ArthurLira_;Arthur Lira;1086390169970884613;1086390169970884613
