created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;possibly_sensitive;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:10:18 +0000 2022;1488484851825139717;1488484851825139717;"RT @MarciaJSimoes: ISTOÉ: Estados Unidos expressam preocupação com viagem de Bolsonaro à Rússia.
https://t.co/SAgOmSCKMj

via @GoogleNews";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;False;low;pt;1643717418043;1378125129742491660;1378125129742491660;Iro_SomosMoro;;;False;False;689;1095;Fri Apr 02 23:20:30 +0000 2021;MarciaJSimoes;🔰🔰Marcia Simões🔰🔰;809102426766766080;809102426766766080
Tue Feb 01 12:10:18 +0000 2022;1488484851825139717;1488484851825139717;"RT @MarciaJSimoes: ISTOÉ: Estados Unidos expressam preocupação com viagem de Bolsonaro à Rússia.
https://t.co/SAgOmSCKMj

via @GoogleNews";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;False;low;pt;1643717418043;1378125129742491660;1378125129742491660;Iro_SomosMoro;;;False;False;689;1095;Fri Apr 02 23:20:30 +0000 2021;googlenews;Google News;33584794;33584794
