created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:06:46 +0000 2022;1488483966428631046;1488483966428631046;"RT @Margabacher: @guilherme_amado E daí ? Tudo do Bozo e fake , deve ter comprado seguidores 😂
Bolsonaro e Uma Farsa … https://t.co/DLo6fgY…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717206948;1260030703917359105;1260030703917359105;Eliana08227655;;;False;False;13;184;Tue May 12 02:15:34 +0000 2020;Margabacher;Margabuschlove;1279913931872636928;1279913931872636928
Tue Feb 01 12:06:46 +0000 2022;1488483966428631046;1488483966428631046;"RT @Margabacher: @guilherme_amado E daí ? Tudo do Bozo e fake , deve ter comprado seguidores 😂
Bolsonaro e Uma Farsa … https://t.co/DLo6fgY…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717206948;1260030703917359105;1260030703917359105;Eliana08227655;;;False;False;13;184;Tue May 12 02:15:34 +0000 2020;guilherme_amado;Guilherme Amado;25029808;25029808
