created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:06:31 +0000 2022;1488483903568551937;1488483903568551937;RT @InsightFaith13: @GatoConectadoPT Essa imagem mostra o abismo que existe entre Lula que promove a vacina e a vida, e Bolsonaro anti vaci…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717191961;951070688386928641;951070688386928641;MariaPAlves_23;Campinas, Brasil;"Que a luta pela paz, pela verdade e pela justiça
nunca saia do horizonte do povo brasileiro.
Luiz Inácio Lula da Silva

https://www.facebook.com/ZEZE1968";False;False;9036;9038;Wed Jan 10 12:38:16 +0000 2018;InsightFaith13;Insight Faith;1481441761994186764;1481441761994186764
Tue Feb 01 12:06:31 +0000 2022;1488483903568551937;1488483903568551937;RT @InsightFaith13: @GatoConectadoPT Essa imagem mostra o abismo que existe entre Lula que promove a vacina e a vida, e Bolsonaro anti vaci…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717191961;951070688386928641;951070688386928641;MariaPAlves_23;Campinas, Brasil;"Que a luta pela paz, pela verdade e pela justiça
nunca saia do horizonte do povo brasileiro.
Luiz Inácio Lula da Silva

https://www.facebook.com/ZEZE1968";False;False;9036;9038;Wed Jan 10 12:38:16 +0000 2018;GatoConectadoPT;😽Gato Conectado Resiste 🏳️‍🌈 #VacinaSalvaVidas;1463112809118531586;1463112809118531586
