created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:04:38 +0000 2022;1488483428219723778;1488483428219723778;RT @o_antagonista: .@OmarAzizSenador, que presidiu a CPI da Covid, criticou a conclusão da PF, segundo a qual @jairbolsonaro não cometeu cr…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717078629;1364741760757465091;1364741760757465091;ronaldo18782742;;;False;False;21;148;Thu Feb 25 00:59:46 +0000 2021;o_antagonista;O Antagonista;2880932962;2880932962
Tue Feb 01 12:04:38 +0000 2022;1488483428219723778;1488483428219723778;RT @o_antagonista: .@OmarAzizSenador, que presidiu a CPI da Covid, criticou a conclusão da PF, segundo a qual @jairbolsonaro não cometeu cr…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717078629;1364741760757465091;1364741760757465091;ronaldo18782742;;;False;False;21;148;Thu Feb 25 00:59:46 +0000 2021;OmarAzizSenador;Omar Aziz;2445921702;2445921702
Tue Feb 01 12:04:38 +0000 2022;1488483428219723778;1488483428219723778;RT @o_antagonista: .@OmarAzizSenador, que presidiu a CPI da Covid, criticou a conclusão da PF, segundo a qual @jairbolsonaro não cometeu cr…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717078629;1364741760757465091;1364741760757465091;ronaldo18782742;;;False;False;21;148;Thu Feb 25 00:59:46 +0000 2021;jairbolsonaro;Jair M. Bolsonaro;128372940;128372940
