created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:05:09 +0000 2022;1488483556452151298;1488483556452151298;RT @RobsonWiller3: @CarlosBolsonaro @iaragb Infelizmente a imprensa era acostumado a um tipo de ambiente de compadrio com o Estado que não…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717109202;2785055738;2785055738;tbmvb;são paulo/sp/br;;False;False;1178;1362;Tue Sep 02 02:21:18 +0000 2014;RobsonWiller3;SCARDINI, Robson Willer.;1298772412444684289;1298772412444684289
Tue Feb 01 12:05:09 +0000 2022;1488483556452151298;1488483556452151298;RT @RobsonWiller3: @CarlosBolsonaro @iaragb Infelizmente a imprensa era acostumado a um tipo de ambiente de compadrio com o Estado que não…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717109202;2785055738;2785055738;tbmvb;são paulo/sp/br;;False;False;1178;1362;Tue Sep 02 02:21:18 +0000 2014;CarlosBolsonaro;Carlos Bolsonaro;68712576;68712576
Tue Feb 01 12:05:09 +0000 2022;1488483556452151298;1488483556452151298;RT @RobsonWiller3: @CarlosBolsonaro @iaragb Infelizmente a imprensa era acostumado a um tipo de ambiente de compadrio com o Estado que não…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717109202;2785055738;2785055738;tbmvb;são paulo/sp/br;;False;False;1178;1362;Tue Sep 02 02:21:18 +0000 2014;iaragb;ℹ️IaraGB 🐒💨☭ 👉👉🇧🇷;139860744;139860744
