created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;quoted_status_id;quoted_status_id_str;quoted_status;quoted_status_permalink;is_quote_status;possibly_sensitive;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:02:20 +0000 2022;1488482847212150784;1488482847212150784;"RT @ZabucaRodrigo: @GambaLilian https://t.co/WaA3lY0TaD,
Coincidemente o Eduardo Bolsonaro esta passeando na Disney essa semana, Que fica e…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;1487940903939444740;1487940903939444740;1487940903939444740;;True;False;low;pt;1643716940106;973681567724900353;973681567724900353;leeicewitz1;Earth;❄️🌊;False;False;4351;4993;Tue Mar 13 22:05:50 +0000 2018;ZabucaRodrigo;R R;1521551455;1521551455
Tue Feb 01 12:02:20 +0000 2022;1488482847212150784;1488482847212150784;"RT @ZabucaRodrigo: @GambaLilian https://t.co/WaA3lY0TaD,
Coincidemente o Eduardo Bolsonaro esta passeando na Disney essa semana, Que fica e…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;1487940903939444740;1487940903939444740;1487940903939444740;;True;False;low;pt;1643716940106;973681567724900353;973681567724900353;leeicewitz1;Earth;❄️🌊;False;False;4351;4993;Tue Mar 13 22:05:50 +0000 2018;GambaLilian;LilianGamba;783983588840792064;783983588840792064
