created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:06:14 +0000 2022;1488483828498935817;1488483828498935817;"RT @Ciro_de_trator: Um react do @cirogomes  sobre Bolsonaro fantasiado de povão e o contraste com seus gastos pessoas vai viralizar.

Tá to…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717174063;710785683464560640;710785683464560640;BiancaMichell7;;#forabolsonaro;False;False;1059;2336;Fri Mar 18 11:11:27 +0000 2016;Ciro_de_trator;Trator Brasileiro;1221986090271346688;1221986090271346688
Tue Feb 01 12:06:14 +0000 2022;1488483828498935817;1488483828498935817;"RT @Ciro_de_trator: Um react do @cirogomes  sobre Bolsonaro fantasiado de povão e o contraste com seus gastos pessoas vai viralizar.

Tá to…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717174063;710785683464560640;710785683464560640;BiancaMichell7;;#forabolsonaro;False;False;1059;2336;Fri Mar 18 11:11:27 +0000 2016;cirogomes;Ciro Gomes;33374761;33374761
