created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:08:02 +0000 2022;1488484283404722176;1488484283404722176;"RT @brom_elisa: Chegada do Pr @jairbolsonaro no Rio de Janeiro 🇧🇷👊🏻

Bolsonaro cumpre agenda no Estado,c/ anúncio de investimentos federais…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717282521;190072429;190072429;AliceBSPontes;São Paulo - Brasil;"Sou de Jesus
🇧🇷🇧🇷🇧🇷
Brasil acima de tudo e Deus acima de todos!!🇧🇷🇧🇷🇧🇷";False;False;869;1362;Mon Sep 13 00:42:13 +0000 2010;brom_elisa;Elisa Brom;1159467623110848512;1159467623110848512
Tue Feb 01 12:08:02 +0000 2022;1488484283404722176;1488484283404722176;"RT @brom_elisa: Chegada do Pr @jairbolsonaro no Rio de Janeiro 🇧🇷👊🏻

Bolsonaro cumpre agenda no Estado,c/ anúncio de investimentos federais…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717282521;190072429;190072429;AliceBSPontes;São Paulo - Brasil;"Sou de Jesus
🇧🇷🇧🇷🇧🇷
Brasil acima de tudo e Deus acima de todos!!🇧🇷🇧🇷🇧🇷";False;False;869;1362;Mon Sep 13 00:42:13 +0000 2010;jairbolsonaro;Jair M. Bolsonaro;128372940;128372940
