created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str
Tue Feb 01 12:00:00 +0000 2022;1488482261666304004;1488482261666304004;RT @Luciano02994731: @jose_simao Bolsonaro querendo enganar os bestas mas só quem foi Dalai a dele fora bolsonaro;"<a href=""https://twitter.com/bozo_bot"" rel=""nofollow"">Bozo Bot</a>";False;;;;;;;;;;False;low;pt;1643716800501;1263561100748107776;1263561100748107776;bozo_bot;;"Criado para retuitar todos os tuítes que contenha FORA BOLSONARO

@braganssao";False;False;5411;1;Thu May 21 20:03:44 +0000 2020;Luciano02994731;Luciano Silva;1488480670322237441;1488480670322237441
Tue Feb 01 12:00:00 +0000 2022;1488482261666304004;1488482261666304004;RT @Luciano02994731: @jose_simao Bolsonaro querendo enganar os bestas mas só quem foi Dalai a dele fora bolsonaro;"<a href=""https://twitter.com/bozo_bot"" rel=""nofollow"">Bozo Bot</a>";False;;;;;;;;;;False;low;pt;1643716800501;1263561100748107776;1263561100748107776;bozo_bot;;"Criado para retuitar todos os tuítes que contenha FORA BOLSONARO

@braganssao";False;False;5411;1;Thu May 21 20:03:44 +0000 2020;jose_simao;José Simão;95740548;95740548
